"id","domain","source","source_url","license","citation","notes","access"
"nhanes_1999_2000_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_1999_2000_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 1999_2000 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
