"id","domain","source","source_url","license","citation","notes","access"
"nhanes_2001_2002_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2001_2002_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2001_2002 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2003_2004_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2003_2004 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2005_2006_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2005_2006 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2007_2008_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2007_2008 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2009_2010_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2009_2010 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2011_2012_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2011_2012 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2013_2014_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2013_2014 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2015_2016_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2015_2016 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_tchol","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 TCHOL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_hdl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 HDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_trig","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 TRIG","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_glucose","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 GLUCOSE","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_a1c","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 A1C","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_ldl","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 LDL","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_insulin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 INSULIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_crp","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 CRP","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_ferritin","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 FERRITIN","remote_only; fetch via NHANES labs fetcher","remote_only"
"nhanes_2017_2018_lab_vitd","public_health","CDC NHANES","https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes","public domain","NHANES 2017_2018 VITD","remote_only; fetch via NHANES labs fetcher","remote_only"
"brfss_2011","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2011.html","public domain","CDC BRFSS 2011","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2012","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2012.html","public domain","CDC BRFSS 2012","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2013","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2013.html","public domain","CDC BRFSS 2013","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2014","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2014.html","public domain","CDC BRFSS 2014","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2015","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2015.html","public domain","CDC BRFSS 2015","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2016","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2016.html","public domain","CDC BRFSS 2016","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2017","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2017.html","public domain","CDC BRFSS 2017","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2018","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2018.html","public domain","CDC BRFSS 2018","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2019","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2019.html","public domain","CDC BRFSS 2019","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2020","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2020.html","public domain","CDC BRFSS 2020","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2021","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2021.html","public domain","CDC BRFSS 2021","remote_only; fetch via BRFSS fetcher","remote_only"
"brfss_2022","public_health","CDC BRFSS","https://www.cdc.gov/brfss/annual_data/annual_2022.html","public domain","CDC BRFSS 2022","remote_only; fetch via BRFSS fetcher","remote_only"
"nhis_2004_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2004 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2005_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2005 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2006_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2006 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2007_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2007 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2008_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2008 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2009_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2009 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2010_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2010 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2011_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2011 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2012_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2012 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2013_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2013 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2014_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2014 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2015_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2015 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2016_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2016 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2017_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2017 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2018_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2018 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2019_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2019 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2020_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2020 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2021_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2021 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"nhis_2022_samadult","public_health","NCHS NHIS","https://www.cdc.gov/nchs/nhis/data-questionnaires-documentation.htm","public domain","NHIS 2022 Sample Adult","remote_only; fetch via NHIS fetcher","remote_only"
"meps_2000_fyc","health_economics","AHRQ MEPS","https://meps.ahrq.gov/data_stats/download_data_files.jsp","public domain","MEPS Full-Year Consolidated 2000","remote_only; fetch via MEPS fetcher","remote_only"
